LoadID,Date,Year,Month,MonthName,Quarter,DayType,Carrier,Dispatcher,Terminal,Origin,Destination,Route,DistanceMiles,LoadType,WeatherImpact,AppointmentType,DelayCause,Responsibility,ScheduledTransitHours,ActualTransitHours,DelayMinutes,DelayCategory,OperationalStatus,StrictOnTimeStatus,ServiceLevel
850,2024-01-01,2024,1,Jan,Q1,Weekday,RoadBull,M. Clark,Winnipeg,Grand Forks,Chicago,Grand Forks to Chicago,1018,Dry,Snow,Strict,Dock Delay,Shipper/Receiver,20.0,21.6,94,Moderate,Late,Late,At-Risk
1489,2024-01-01,2024,1,Jan,Q1,Weekday,RoadBull,J. Lee,Winnipeg,Sioux Falls,Chicago,Sioux Falls to Chicago,834,Dry,Rain,Strict,Weather,External,16.9,19.1,130,Moderate,Late,Late,Failure
3072,2024-01-01,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Minneapolis,Fargo,Chicago,Fargo to Chicago,360,Flatbed,None,Strict,Traffic,External,7.6,7.6,0,On-Time,On-Time,On-Time,On-Time
3816,2024-01-02,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Winnipeg,Grand Forks,Winnipeg,Grand Forks to Winnipeg,963,Dry,None,Standard,Traffic,Carrier,16.9,17.6,43,Minor,On-Time,Late,On-Time
1356,2024-01-02,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Winnipeg,Winnipeg,Minneapolis,Winnipeg to Minneapolis,769,Dry,None,Open,High Wind Shutdown,External,16.8,22.1,315,Severe,Late,Late,Failure
154,2024-01-02,2024,1,Jan,Q1,Weekday,FastFreight,A. Smith,Des Moines,Grand Forks,Kansas City,Grand Forks to Kansas City,1166,Reefer,Rain,Strict,Breakdown,Carrier,23.0,23.0,0,On-Time,On-Time,On-Time,On-Time
55,2024-01-02,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Minneapolis,Grand Forks,Omaha,Grand Forks to Omaha,762,Flatbed,Snow,Standard,Traffic,Carrier,16.5,16.8,19,On-Time,On-Time,Late,On-Time
1442,2024-01-02,2024,1,Jan,Q1,Weekday,RoadBull,R. Davis,Des Moines,Sioux Falls,Kansas City,Sioux Falls to Kansas City,1025,Reefer,Snow,Standard,Dock Delay,Shipper/Receiver,22.8,23.8,57,Minor,Late,Late,At-Risk
193,2024-01-02,2024,1,Jan,Q1,Weekday,FastFreight,A. Smith,Minneapolis,Winnipeg,Minneapolis,Winnipeg to Minneapolis,1008,Dry,Snow,Standard,Dispatch/Planning,Carrier,20.8,21.2,23,On-Time,On-Time,Late,On-Time
1612,2024-01-02,2024,1,Jan,Q1,Weekday,RoadBull,A. Smith,Winnipeg,Sioux Falls,Chicago,Sioux Falls to Chicago,549,Dry,None,Open,Weather,External,10.7,11.7,58,Minor,Late,Late,On-Time
3457,2024-01-03,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Des Moines,Fargo,Winnipeg,Fargo to Winnipeg,671,Dry,Snow,Strict,Dock Delay,Shipper/Receiver,14.0,14.0,2,On-Time,On-Time,On-Time,On-Time
1575,2024-01-03,2024,1,Jan,Q1,Weekday,NorthTrail,M. Clark,Fargo,Fargo,Kansas City,Fargo to Kansas City,401,Dry,None,Strict,Weather,External,7.6,8.2,36,Minor,On-Time,Late,On-Time
3313,2024-01-03,2024,1,Jan,Q1,Weekday,NorthTrail,M. Clark,Des Moines,Winnipeg,Kansas City,Winnipeg to Kansas City,837,Reefer,Snow,Strict,Dock Delay,Shipper/Receiver,14.4,14.4,0,On-Time,On-Time,On-Time,On-Time
4902,2024-01-03,2024,1,Jan,Q1,Weekday,FastFreight,R. Davis,Fargo,Sioux Falls,Winnipeg,Sioux Falls to Winnipeg,980,Dry,Snow,Strict,Breakdown,Carrier,17.3,18.3,62,Minor,Late,Late,On-Time
1126,2024-01-03,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Minneapolis,Minneapolis,Winnipeg,Minneapolis to Winnipeg,331,Flatbed,None,Standard,Dock Delay,Shipper/Receiver,5.6,6.0,26,On-Time,On-Time,Late,On-Time
664,2024-01-03,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Des Moines,Winnipeg,Kansas City,Winnipeg to Kansas City,278,Dry,Snow,Strict,Dispatch/Planning,Carrier,5.6,5.6,0,On-Time,On-Time,On-Time,On-Time
2890,2024-01-03,2024,1,Jan,Q1,Weekday,FastFreight,M. Clark,Fargo,Grand Forks,Minneapolis,Grand Forks to Minneapolis,895,Dry,Rain,Strict,Dispatch/Planning,Carrier,18.8,19.1,20,On-Time,On-Time,Late,On-Time
1169,2024-01-03,2024,1,Jan,Q1,Weekday,RoadBull,J. Lee,Winnipeg,Winnipeg,Omaha,Winnipeg to Omaha,876,Reefer,None,Standard,Inspection,External,17.5,19.5,120,Moderate,Late,Late,Failure
2767,2024-01-03,2024,1,Jan,Q1,Weekday,NorthTrail,R. Davis,Winnipeg,Grand Forks,Winnipeg,Grand Forks to Winnipeg,306,Reefer,Snow,Strict,Weather,External,6.6,7.7,68,Minor,Late,Late,On-Time
4075,2024-01-04,2024,1,Jan,Q1,Weekday,NorthTrail,A. Smith,Fargo,Winnipeg,Omaha,Winnipeg to Omaha,688,Flatbed,Rain,Standard,Dispatch/Planning,Carrier,13.0,13.0,1,On-Time,On-Time,On-Time,On-Time
3009,2024-01-04,2024,1,Jan,Q1,Weekday,FastFreight,R. Davis,Winnipeg,Grand Forks,Minneapolis,Grand Forks to Minneapolis,778,Flatbed,None,Open,Traffic,External,14.2,15.3,65,Minor,Late,Late,On-Time
720,2024-01-04,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Minneapolis,Winnipeg,Chicago,Winnipeg to Chicago,310,Flatbed,Snow,Open,Traffic,Carrier,5.5,6.1,35,Minor,On-Time,Late,On-Time
4238,2024-01-04,2024,1,Jan,Q1,Weekday,FastFreight,A. Smith,Winnipeg,Fargo,Omaha,Fargo to Omaha,798,Reefer,Snow,Strict,Traffic,External,14.4,14.4,0,On-Time,On-Time,On-Time,On-Time
978,2024-01-04,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Winnipeg,Minneapolis,Omaha,Minneapolis to Omaha,849,Dry,Snow,Strict,Traffic,Carrier,18.8,19.1,20,On-Time,On-Time,Late,On-Time
4014,2024-01-05,2024,1,Jan,Q1,Weekday,FastFreight,M. Clark,Winnipeg,Grand Forks,Omaha,Grand Forks to Omaha,262,Flatbed,Snow,Open,Weather,External,5.3,10.2,297,Severe,Late,Late,Failure
626,2024-01-05,2024,1,Jan,Q1,Weekday,NorthTrail,A. Smith,Winnipeg,Minneapolis,Omaha,Minneapolis to Omaha,728,Dry,None,Strict,Traffic,Carrier,13.1,13.1,0,On-Time,On-Time,On-Time,On-Time
2875,2024-01-05,2024,1,Jan,Q1,Weekday,NorthTrail,A. Smith,Fargo,Winnipeg,Minneapolis,Winnipeg to Minneapolis,834,Dry,Rain,Standard,Traffic,Carrier,14.9,15.1,9,On-Time,On-Time,On-Time,On-Time
3964,2024-01-05,2024,1,Jan,Q1,Weekday,FastFreight,R. Davis,Minneapolis,Minneapolis,Omaha,Minneapolis to Omaha,361,Dry,Rain,Open,Weather,External,6.7,7.2,29,On-Time,On-Time,Late,On-Time
102,2024-01-05,2024,1,Jan,Q1,Weekday,RoadBull,M. Clark,Minneapolis,Minneapolis,Chicago,Minneapolis to Chicago,889,Dry,None,Strict,Weather,External,16.4,16.8,25,On-Time,On-Time,Late,On-Time
3917,2024-01-05,2024,1,Jan,Q1,Weekday,FastFreight,A. Smith,Des Moines,Sioux Falls,Omaha,Sioux Falls to Omaha,816,Reefer,Snow,Open,Traffic,External,14.2,14.3,5,On-Time,On-Time,On-Time,On-Time
768,2024-01-05,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Minneapolis,Grand Forks,Omaha,Grand Forks to Omaha,699,Dry,Snow,Standard,Traffic,External,13.9,14.0,4,On-Time,On-Time,On-Time,On-Time
534,2024-01-05,2024,1,Jan,Q1,Weekday,FastFreight,A. Smith,Fargo,Sioux Falls,Minneapolis,Sioux Falls to Minneapolis,625,Flatbed,Snow,Open,Traffic,Driver,13.0,15.1,127,Moderate,Late,Late,At-Risk
308,2024-01-05,2024,1,Jan,Q1,Weekday,RoadBull,R. Davis,Minneapolis,Winnipeg,Kansas City,Winnipeg to Kansas City,759,Dry,Snow,Standard,Traffic,Carrier,14.8,16.4,98,Moderate,Late,Late,At-Risk
4010,2024-01-06,2024,1,Jan,Q1,Weekend,SwiftLine,A. Smith,Des Moines,Minneapolis,Winnipeg,Minneapolis to Winnipeg,759,Dry,None,Open,Traffic,Carrier,14.0,15.2,73,Minor,Late,Late,On-Time
3781,2024-01-06,2024,1,Jan,Q1,Weekend,FastFreight,A. Smith,Des Moines,Sioux Falls,Chicago,Sioux Falls to Chicago,376,Dry,Snow,Standard,Dispatch/Planning,Carrier,7.5,7.8,20,On-Time,On-Time,Late,On-Time
716,2024-01-06,2024,1,Jan,Q1,Weekend,NorthTrail,R. Davis,Fargo,Fargo,Kansas City,Fargo to Kansas City,475,Dry,Snow,Strict,Dock Delay,Shipper/Receiver,8.1,8.7,38,Minor,On-Time,Late,On-Time
3872,2024-01-06,2024,1,Jan,Q1,Weekend,FastFreight,R. Davis,Des Moines,Sioux Falls,Omaha,Sioux Falls to Omaha,222,Reefer,Snow,Standard,Traffic,Driver,4.5,5.2,43,Minor,On-Time,Late,On-Time
4084,2024-01-06,2024,1,Jan,Q1,Weekend,NorthTrail,R. Davis,Minneapolis,Fargo,Kansas City,Fargo to Kansas City,1134,Reefer,Snow,Standard,Dock Delay,Shipper/Receiver,20.3,20.5,14,On-Time,On-Time,On-Time,On-Time
4077,2024-01-06,2024,1,Jan,Q1,Weekend,NorthTrail,J. Lee,Des Moines,Sioux Falls,Omaha,Sioux Falls to Omaha,424,Dry,Snow,Strict,Dock Delay,Shipper/Receiver,7.6,8.8,72,Minor,Late,Late,On-Time
3344,2024-01-06,2024,1,Jan,Q1,Weekend,NorthTrail,M. Clark,Des Moines,Fargo,Omaha,Fargo to Omaha,563,Dry,Snow,Strict,Weather,External,12.3,13.7,86,Minor,Late,Late,At-Risk
1272,2024-01-07,2024,1,Jan,Q1,Weekend,SwiftLine,R. Davis,Fargo,Sioux Falls,Winnipeg,Sioux Falls to Winnipeg,518,Dry,None,Strict,Dock Delay,Shipper/Receiver,11.5,11.5,0,On-Time,On-Time,On-Time,On-Time
1759,2024-01-07,2024,1,Jan,Q1,Weekend,RoadBull,M. Clark,Des Moines,Fargo,Chicago,Fargo to Chicago,766,Reefer,Snow,Standard,Weather,External,16.8,16.9,5,On-Time,On-Time,On-Time,On-Time
3229,2024-01-07,2024,1,Jan,Q1,Weekend,FastFreight,J. Lee,Minneapolis,Sioux Falls,Kansas City,Sioux Falls to Kansas City,1162,Reefer,Rain,Strict,Traffic,Carrier,20.3,20.8,29,On-Time,On-Time,Late,On-Time
1220,2024-01-07,2024,1,Jan,Q1,Weekend,NorthTrail,J. Lee,Minneapolis,Fargo,Kansas City,Fargo to Kansas City,956,Dry,Rain,Open,Traffic,External,16.0,16.1,9,On-Time,On-Time,On-Time,On-Time
941,2024-01-07,2024,1,Jan,Q1,Weekend,FastFreight,M. Clark,Fargo,Grand Forks,Minneapolis,Grand Forks to Minneapolis,739,Flatbed,Snow,Open,Breakdown,Carrier,14.6,15.3,43,Minor,On-Time,Late,On-Time
1382,2024-01-07,2024,1,Jan,Q1,Weekend,SwiftLine,J. Lee,Des Moines,Minneapolis,Omaha,Minneapolis to Omaha,761,Dry,None,Standard,Traffic,Carrier,15.5,16.3,48,Minor,Late,Late,At-Risk
4424,2024-01-07,2024,1,Jan,Q1,Weekend,RoadBull,R. Davis,Fargo,Winnipeg,Omaha,Winnipeg to Omaha,292,Flatbed,Rain,Strict,Traffic,Driver,5.4,6.4,57,Minor,Late,Late,On-Time
663,2024-01-07,2024,1,Jan,Q1,Weekend,RoadBull,J. Lee,Minneapolis,Grand Forks,Chicago,Grand Forks to Chicago,586,Dry,None,Strict,Traffic,Driver,11.8,11.8,0,On-Time,On-Time,On-Time,On-Time
3411,2024-01-07,2024,1,Jan,Q1,Weekend,RoadBull,J. Lee,Winnipeg,Sioux Falls,Kansas City,Sioux Falls to Kansas City,1002,Reefer,Rain,Strict,Inspection,External,17.3,18.4,63,Minor,Late,Late,On-Time
4850,2024-01-07,2024,1,Jan,Q1,Weekend,RoadBull,R. Davis,Des Moines,Sioux Falls,Omaha,Sioux Falls to Omaha,522,Reefer,Snow,Standard,Dock Delay,Shipper/Receiver,11.4,11.9,28,On-Time,On-Time,Late,On-Time
2485,2024-01-07,2024,1,Jan,Q1,Weekend,NorthTrail,M. Clark,Des Moines,Winnipeg,Kansas City,Winnipeg to Kansas City,325,Dry,Snow,Open,Dock Delay,Shipper/Receiver,5.7,6.1,23,On-Time,On-Time,Late,On-Time
1520,2024-01-08,2024,1,Jan,Q1,Weekday,RoadBull,M. Clark,Winnipeg,Grand Forks,Chicago,Grand Forks to Chicago,308,Dry,None,Strict,Weather,External,6.1,6.5,27,On-Time,On-Time,Late,On-Time
2925,2024-01-08,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Winnipeg,Minneapolis,Kansas City,Minneapolis to Kansas City,754,Reefer,Snow,Open,Dock Delay,Shipper/Receiver,14.4,19.6,311,Severe,Late,Late,Failure
920,2024-01-08,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Minneapolis,Sioux Falls,Kansas City,Sioux Falls to Kansas City,936,Dry,High Wind,Standard,Inspection,External,16.0,16.9,56,Minor,Late,Late,At-Risk
3994,2024-01-08,2024,1,Jan,Q1,Weekday,NorthTrail,R. Davis,Minneapolis,Fargo,Minneapolis,Fargo to Minneapolis,1093,Flatbed,Snow,Strict,Dispatch/Planning,Carrier,19.7,20.7,59,Minor,Late,Late,On-Time
514,2024-01-08,2024,1,Jan,Q1,Weekday,RoadBull,J. Lee,Des Moines,Minneapolis,Omaha,Minneapolis to Omaha,229,Flatbed,High Wind,Open,Traffic,Carrier,4.0,4.5,27,On-Time,On-Time,Late,On-Time
2347,2024-01-08,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Des Moines,Sioux Falls,Omaha,Sioux Falls to Omaha,471,Dry,Snow,Strict,Breakdown,Carrier,10.4,10.8,27,On-Time,On-Time,Late,On-Time
2191,2024-01-08,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Winnipeg,Winnipeg,Minneapolis,Winnipeg to Minneapolis,933,Reefer,None,Strict,Weather,External,17.3,17.9,36,Minor,On-Time,Late,On-Time
3642,2024-01-08,2024,1,Jan,Q1,Weekday,SwiftLine,J. Lee,Winnipeg,Sioux Falls,Chicago,Sioux Falls to Chicago,806,Flatbed,None,Open,Weather,External,14.6,16.5,113,Moderate,Late,Late,At-Risk
650,2024-01-08,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Winnipeg,Winnipeg,Chicago,Winnipeg to Chicago,842,Flatbed,None,Standard,Dock Delay,Shipper/Receiver,18.2,18.4,13,On-Time,On-Time,On-Time,On-Time
1884,2024-01-08,2024,1,Jan,Q1,Weekday,SwiftLine,A. Smith,Winnipeg,Minneapolis,Omaha,Minneapolis to Omaha,572,Reefer,High Wind,Strict,Traffic,Driver,10.5,12.1,93,Moderate,Late,Late,At-Risk
4788,2024-01-08,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Des Moines,Sioux Falls,Kansas City,Sioux Falls to Kansas City,306,Dry,Rain,Strict,Traffic,External,6.6,7.5,52,Minor,Late,Late,On-Time
4363,2024-01-08,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Fargo,Winnipeg,Omaha,Winnipeg to Omaha,529,Dry,Snow,Strict,Traffic,External,8.9,9.0,5,On-Time,On-Time,On-Time,On-Time
1369,2024-01-09,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Minneapolis,Sioux Falls,Kansas City,Sioux Falls to Kansas City,601,Dry,Rain,Standard,Traffic,Carrier,10.1,10.8,40,Minor,On-Time,Late,On-Time
4204,2024-01-09,2024,1,Jan,Q1,Weekday,NorthTrail,R. Davis,Minneapolis,Fargo,Kansas City,Fargo to Kansas City,1100,Dry,Snow,Standard,Dock Delay,Shipper/Receiver,22.3,24.0,104,Moderate,Late,Late,At-Risk
199,2024-01-09,2024,1,Jan,Q1,Weekday,NorthTrail,R. Davis,Winnipeg,Grand Forks,Minneapolis,Grand Forks to Minneapolis,263,Dry,None,Strict,Weather,External,5.8,6.5,40,Minor,On-Time,Late,On-Time
435,2024-01-09,2024,1,Jan,Q1,Weekday,RoadBull,M. Clark,Fargo,Grand Forks,Kansas City,Grand Forks to Kansas City,1179,Dry,Snow,Strict,Traffic,External,25.3,27.3,120,Moderate,Late,Late,At-Risk
4594,2024-01-09,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Fargo,Minneapolis,Omaha,Minneapolis to Omaha,868,Dry,Rain,Open,Traffic,Carrier,17.2,17.8,38,Minor,On-Time,Late,On-Time
743,2024-01-10,2024,1,Jan,Q1,Weekday,FastFreight,R. Davis,Minneapolis,Sioux Falls,Kansas City,Sioux Falls to Kansas City,249,Dry,Snow,Standard,Traffic,Carrier,4.5,5.5,57,Minor,Late,Late,At-Risk
2949,2024-01-10,2024,1,Jan,Q1,Weekday,NorthTrail,R. Davis,Winnipeg,Grand Forks,Kansas City,Grand Forks to Kansas City,408,Dry,Snow,Strict,Inspection,External,7.5,8.3,46,Minor,Late,Late,On-Time
3914,2024-01-10,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Des Moines,Fargo,Winnipeg,Fargo to Winnipeg,1028,Reefer,None,Standard,Dock Delay,Shipper/Receiver,18.6,19.3,44,Minor,On-Time,Late,On-Time
1872,2024-01-10,2024,1,Jan,Q1,Weekday,FastFreight,M. Clark,Fargo,Grand Forks,Minneapolis,Grand Forks to Minneapolis,473,Dry,Rain,Strict,Dock Delay,Shipper/Receiver,8.6,10.6,120,Moderate,Late,Late,At-Risk
4763,2024-01-10,2024,1,Jan,Q1,Weekday,RoadBull,A. Smith,Winnipeg,Winnipeg,Kansas City,Winnipeg to Kansas City,552,Dry,Snow,Open,Dock Delay,Shipper/Receiver,11.5,12.7,74,Minor,Late,Late,On-Time
2002,2024-01-10,2024,1,Jan,Q1,Weekday,NorthTrail,A. Smith,Des Moines,Grand Forks,Kansas City,Grand Forks to Kansas City,990,Reefer,Snow,Strict,Inspection,External,19.8,20.8,59,Minor,Late,Late,On-Time
531,2024-01-10,2024,1,Jan,Q1,Weekday,NorthTrail,J. Lee,Winnipeg,Winnipeg,Kansas City,Winnipeg to Kansas City,447,Reefer,None,Strict,Traffic,Driver,8.9,9.0,5,On-Time,On-Time,On-Time,On-Time
2690,2024-01-10,2024,1,Jan,Q1,Weekday,SwiftLine,A. Smith,Minneapolis,Winnipeg,Minneapolis,Winnipeg to Minneapolis,284,Dry,Snow,Strict,Weather,External,4.9,5.0,5,On-Time,On-Time,On-Time,On-Time
3057,2024-01-10,2024,1,Jan,Q1,Weekday,NorthTrail,M. Clark,Minneapolis,Winnipeg,Kansas City,Winnipeg to Kansas City,782,Dry,None,Strict,Breakdown,Carrier,13.1,13.4,21,On-Time,On-Time,Late,On-Time
1639,2024-01-10,2024,1,Jan,Q1,Weekday,SwiftLine,J. Lee,Minneapolis,Grand Forks,Kansas City,Grand Forks to Kansas City,674,Flatbed,Rain,Standard,Dock Delay,Shipper/Receiver,12.7,14.3,99,Moderate,Late,Late,At-Risk
1466,2024-01-10,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Minneapolis,Minneapolis,Kansas City,Minneapolis to Kansas City,543,Dry,Snow,Strict,Traffic,Carrier,11.3,11.3,0,On-Time,On-Time,On-Time,On-Time
822,2024-01-11,2024,1,Jan,Q1,Weekday,FastFreight,J. Lee,Fargo,Minneapolis,Omaha,Minneapolis to Omaha,274,Dry,None,Strict,Dock Delay,Shipper/Receiver,5.1,5.8,44,Minor,On-Time,Late,On-Time
1144,2024-01-11,2024,1,Jan,Q1,Weekday,NorthTrail,A. Smith,Des Moines,Grand Forks,Kansas City,Grand Forks to Kansas City,935,Dry,Snow,Standard,Dispatch/Planning,Carrier,16.2,16.6,27,On-Time,On-Time,Late,On-Time
3375,2024-01-11,2024,1,Jan,Q1,Weekday,FastFreight,R. Davis,Minneapolis,Sioux Falls,Chicago,Sioux Falls to Chicago,507,Dry,None,Strict,Weather,External,10.2,12.1,113,Moderate,Late,Late,At-Risk
1007,2024-01-11,2024,1,Jan,Q1,Weekday,SwiftLine,M. Clark,Fargo,Minneapolis,Kansas City,Minneapolis to Kansas City,1026,Dry,Snow,Strict,Inspection,External,18.7,19.3,34,Minor,On-Time,Late,On-Time
3707,2024-01-11,2024,1,Jan,Q1,Weekday,RoadBull,M. Clark,Winnipeg,Winnipeg,Chicago,Winnipeg to Chicago,816,Dry,None,Strict,Dock Delay,Shipper/Receiver,16.4,16.8,26,On-Time,On-Time,Late,On-Time
1342,2024-01-11,2024,1,Jan,Q1,Weekday,FastFreight,A. Smith,Winnipeg,Sioux Falls,Chicago,Sioux Falls to Chicago,424,Reefer,Snow,Strict,Weather,External,7.1,8.5,84,Minor,Late,Late,At-Risk
1710,2024-01-12,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Des Moines,Minneapolis,Chicago,Minneapolis to Chicago,1126,Dry,High Wind,Standard,Inspection,External,22.9,24.2,78,Minor,Late,Late,At-Risk
1750,2024-01-12,2024,1,Jan,Q1,Weekday,RoadBull,A. Smith,Minneapolis,Fargo,Omaha,Fargo to Omaha,1064,Flatbed,Rain,Strict,Inspection,External,20.7,20.9,13,On-Time,On-Time,On-Time,On-Time
4281,2024-01-12,2024,1,Jan,Q1,Weekday,RoadBull,J. Lee,Des Moines,Winnipeg,Omaha,Winnipeg to Omaha,661,Dry,None,Strict,Traffic,Carrier,12.2,12.2,0,On-Time,On-Time,On-Time,On-Time
2013,2024-01-12,2024,1,Jan,Q1,Weekday,NorthTrail,R. Davis,Minneapolis,Minneapolis,Chicago,Minneapolis to Chicago,1053,Reefer,Rain,Strict,Traffic,Carrier,19.1,19.4,20,On-Time,On-Time,Late,On-Time
1497,2024-01-12,2024,1,Jan,Q1,Weekday,RoadBull,R. Davis,Des Moines,Winnipeg,Omaha,Winnipeg to Omaha,794,Dry,None,Open,Dock Delay,Shipper/Receiver,17.0,17.3,20,On-Time,On-Time,Late,On-Time
374,2024-01-12,2024,1,Jan,Q1,Weekday,SwiftLine,A. Smith,Minneapolis,Fargo,Omaha,Fargo to Omaha,254,Flatbed,Rain,Open,Dock Delay,Shipper/Receiver,5.5,6.0,29,On-Time,On-Time,Late,On-Time
4255,2024-01-12,2024,1,Jan,Q1,Weekday,SwiftLine,R. Davis,Fargo,Minneapolis,Chicago,Minneapolis to Chicago,776,Dry,Snow,Standard,Traffic,Carrier,14.0,14.3,18,On-Time,On-Time,Late,On-Time
509,2024-01-12,2024,1,Jan,Q1,Weekday,SwiftLine,J. Lee,Minneapolis,Minneapolis,Winnipeg,Minneapolis to Winnipeg,353,Dry,None,Open,Dock Delay,Shipper/Receiver,7.7,8.4,45,Minor,On-Time,Late,On-Time
1393,2024-01-12,2024,1,Jan,Q1,Weekday,FastFreight,R. Davis,Des Moines,Fargo,Minneapolis,Fargo to Minneapolis,923,Flatbed,None,Strict,Weather,External,17.5,17.9,27,On-Time,On-Time,Late,On-Time
2706,2024-01-12,2024,1,Jan,Q1,Weekday,RoadBull,A. Smith,Des Moines,Grand Forks,Kansas City,Grand Forks to Kansas City,1076,Flatbed,None,Strict,Dock Delay,Shipper/Receiver,19.5,19.6,7,On-Time,On-Time,On-Time,On-Time
3136,2024-01-12,2024,1,Jan,Q1,Weekday,NorthTrail,A. Smith,Fargo,Winnipeg,Minneapolis,Winnipeg to Minneapolis,1108,Dry,High Wind,Strict,Inspection,External,19.5,22.3,170,Moderate,Late,Late,Failure
2815,2024-01-12,2024,1,Jan,Q1,Weekday,NorthTrail,M. Clark,Winnipeg,Minneapolis,Omaha,Minneapolis to Omaha,607,Dry,Snow,Standard,Dispatch/Planning,Carrier,11.9,11.9,1,On-Time,On-Time,On-Time,On-Time
